date,season,day,publicholiday,dailyload
01-01-2015,Winter,Weekday,yes,604197
02-01-2015,Winter,Weekend,no,555700
03-01-2015,Winter,Weekend,no,522764
04-01-2015,Winter,Weekend,no,500494
05-01-2015,Winter,Weekday,no,649523
06-01-2015,Winter,Weekday,yes,571118
07-01-2015,Winter,Weekday,no,698543
08-01-2015,Winter,Weekday,no,718908
09-01-2015,Winter,Weekend,no,610899
10-01-2015,Winter,Weekend,no,551725
11-01-2015,Winter,Weekend,no,545154
12-01-2015,Winter,Weekday,no,688064
13-01-2015,Winter,Weekday,no,730366
14-01-2015,Winter,Weekday,no,745093
15-01-2015,Winter,Weekday,no,793218
16-01-2015,Winter,Weekend,no,765769
17-01-2015,Winter,Weekend,no,678041
18-01-2015,Winter,Weekend,no,666869
19-01-2015,Winter,Weekday,no,670494
20-01-2015,Winter,Weekday,no,729966
21-01-2015,Winter,Weekday,no,641123
22-01-2015,Winter,Weekday,no,662634
23-01-2015,Winter,Weekend,no,678546
24-01-2015,Winter,Weekend,no,619933
25-01-2015,Winter,Weekend,no,604384
26-01-2015,Winter,Weekday,no,718592
27-01-2015,Winter,Weekday,no,703738
28-01-2015,Winter,Weekday,no,731344
29-01-2015,Winter,Weekday,no,719009
30-01-2015,Winter,Weekend,no,640092
31-01-2015,Winter,Weekend,no,599973
01-02-2015,Winter,Weekend,no,668904
02-02-2015,Winter,Weekday,no,815636
03-02-2015,Winter,Weekday,no,804965
04-02-2015,Winter,Weekday,no,796734
05-02-2015,Winter,Weekday,no,742732
06-02-2015,Winter,Weekend,no,755606
07-02-2015,Winter,Weekend,no,715347
08-02-2015,Winter,Weekend,no,667033
09-02-2015,Winter,Weekday,no,813432
10-02-2015,Winter,Weekday,no,801420
11-02-2015,Winter,Weekday,no,830180
12-02-2015,Winter,Weekday,no,795557
13-02-2015,Winter,Weekend,no,764268
14-02-2015,Winter,Weekend,no,682398
15-02-2015,Winter,Weekend,no,644946
16-02-2015,Winter,Weekday,no,760614
17-02-2015,Winter,Weekday,no,764762
18-02-2015,Winter,Weekday,no,797324
19-02-2015,Winter,Weekday,no,779606
20-02-2015,Winter,Weekend,no,775743
21-02-2015,Winter,Weekend,no,633353
22-02-2015,Winter,Weekend,no,645460
23-02-2015,Winter,Weekday,no,774250
24-02-2015,Winter,Weekday,no,803799
25-02-2015,Winter,Weekday,no,789086
26-02-2015,Winter,Weekday,no,800593
27-02-2015,Winter,Weekend,no,784726
28-02-2015,Winter,Weekend,no,705732
01-03-2015,Spring,Weekend,no,616786
02-03-2015,Spring,Weekday,no,741176
03-03-2015,Spring,Weekday,no,742517
04-03-2015,Spring,Weekday,no,795830
05-03-2015,Spring,Weekday,no,809536
06-03-2015,Spring,Weekend,no,780934
07-03-2015,Spring,Weekend,no,690322
08-03-2015,Spring,Weekend,no,610157
09-03-2015,Spring,Weekday,no,765763
10-03-2015,Spring,Weekday,no,761283
11-03-2015,Spring,Weekday,no,769452
12-03-2015,Spring,Weekday,no,758968
13-03-2015,Spring,Weekend,no,761580
14-03-2015,Spring,Weekend,no,663998
15-03-2015,Spring,Weekend,no,608758
16-03-2015,Spring,Weekday,no,750828
17-03-2015,Spring,Weekday,no,730696
18-03-2015,Spring,Weekday,no,749998
19-03-2015,Spring,Weekday,no,742664
20-03-2015,Spring,Weekend,no,727572
21-03-2015,Spring,Weekend,no,668609
22-03-2015,Spring,Weekend,no,575706
23-03-2015,Spring,Weekday,no,711188
24-03-2015,Spring,Weekday,no,724048
25-03-2015,Spring,Weekday,no,713093
26-03-2015,Spring,Weekday,no,699777
27-03-2015,Spring,Weekend,no,662720
28-03-2015,Spring,Weekend,no,613301
29-03-2015,Spring,Weekend,no,557100
30-03-2015,Spring,Weekday,no,665723
31-03-2015,Spring,Weekday,no,677137
01-04-2015,Spring,Weekday,no,741529
02-04-2015,Spring,Weekday,no,740329
03-04-2015,Spring,Weekend,no,656583
04-04-2015,Spring,Weekend,no,636001
05-04-2015,Spring,Weekend,yes,590817
06-04-2015,Spring,Weekday,yes,588529
07-04-2015,Spring,Weekday,no,735971
08-04-2015,Spring,Weekday,no,733810
09-04-2015,Spring,Weekday,no,718554
10-04-2015,Spring,Weekend,no,663645
11-04-2015,Spring,Weekend,no,573431
12-04-2015,Spring,Weekend,no,510941
13-04-2015,Spring,Weekday,no,632702
14-04-2015,Spring,Weekday,no,666965
15-04-2015,Spring,Weekday,no,651057
16-04-2015,Spring,Weekday,no,641504
17-04-2015,Spring,Weekend,no,686935
18-04-2015,Spring,Weekend,no,564435
19-04-2015,Spring,Weekend,no,553619
20-04-2015,Spring,Weekday,no,668010
21-04-2015,Spring,Weekday,no,645792
22-04-2015,Spring,Weekday,no,675692
23-04-2015,Spring,Weekday,no,676417
24-04-2015,Spring,Weekend,no,664855
25-04-2015,Spring,Weekend,no,567347
26-04-2015,Spring,Weekend,no,504970
27-04-2015,Spring,Weekday,no,620734
28-04-2015,Spring,Weekday,no,687524
29-04-2015,Spring,Weekday,no,678186
30-04-2015,Spring,Weekday,no,703317
01-05-2015,Spring,Weekend,yes,562278
02-05-2015,Spring,Weekend,no,553081
03-05-2015,Spring,Weekend,no,512015
04-05-2015,Spring,Weekday,no,654744
05-05-2015,Spring,Weekday,no,657907
06-05-2015,Spring,Weekday,no,660706
07-05-2015,Spring,Weekday,no,671403
08-05-2015,Spring,Weekend,no,641720
09-05-2015,Spring,Weekend,no,496726
10-05-2015,Spring,Weekend,no,444474
11-05-2015,Spring,Weekday,no,583541
12-05-2015,Spring,Weekday,no,579509
13-05-2015,Spring,Weekday,no,572101
14-05-2015,Spring,Weekday,yes,441024
15-05-2015,Spring,Weekend,no,540340
16-05-2015,Spring,Weekend,no,476061
17-05-2015,Spring,Weekend,no,448181
18-05-2015,Spring,Weekday,no,614284
19-05-2015,Spring,Weekday,no,651968
20-05-2015,Spring,Weekday,no,658846
21-05-2015,Spring,Weekday,no,655797
22-05-2015,Spring,Weekend,no,661220
23-05-2015,Spring,Weekend,no,588847
24-05-2015,Spring,Weekend,yes,496921
25-05-2015,Spring,Weekday,yes,464812
26-05-2015,Spring,Weekday,no,613867
27-05-2015,Spring,Weekday,no,637923
28-05-2015,Spring,Weekday,no,663312
29-05-2015,Spring,Weekend,no,619840
30-05-2015,Spring,Weekend,no,528520
31-05-2015,Spring,Weekend,no,472619
01-06-2015,Summer,Weekday,no,652808
02-06-2015,Summer,Weekday,no,663264
03-06-2015,Summer,Weekday,no,650804
04-06-2015,Summer,Weekday,yes,494842
05-06-2015,Summer,Weekend,no,583568
06-06-2015,Summer,Weekend,no,524676
07-06-2015,Summer,Weekend,no,497350
08-06-2015,Summer,Weekday,no,649562
09-06-2015,Summer,Weekday,no,621639
10-06-2015,Summer,Weekday,no,633716
11-06-2015,Summer,Weekday,no,666600
12-06-2015,Summer,Weekend,no,616397
13-06-2015,Summer,Weekend,no,543599
14-06-2015,Summer,Weekend,no,511600
15-06-2015,Summer,Weekday,no,650405
16-06-2015,Summer,Weekday,no,643064
17-06-2015,Summer,Weekday,no,664760
18-06-2015,Summer,Weekday,no,733471
19-06-2015,Summer,Weekend,no,652797
20-06-2015,Summer,Weekend,no,534221
21-06-2015,Summer,Weekend,no,465557
22-06-2015,Summer,Weekday,no,628470
23-06-2015,Summer,Weekday,no,669246
24-06-2015,Summer,Weekday,no,633801
25-06-2015,Summer,Weekday,no,662154
26-06-2015,Summer,Weekend,no,645704
27-06-2015,Summer,Weekend,no,568430
28-06-2015,Summer,Weekend,no,472721
29-06-2015,Summer,Weekday,no,647980
30-06-2015,Summer,Weekday,no,662256
01-07-2015,Summer,Weekday,no,646818
02-07-2015,Summer,Weekday,no,669401
03-07-2015,Summer,Weekend,no,660294
04-07-2015,Summer,Weekend,no,572646
05-07-2015,Summer,Weekend,no,531068
06-07-2015,Summer,Weekday,no,673396
07-07-2015,Summer,Weekday,no,672993
08-07-2015,Summer,Weekday,no,675720
09-07-2015,Summer,Weekday,no,659109
10-07-2015,Summer,Weekend,no,648110
11-07-2015,Summer,Weekend,no,565250
12-07-2015,Summer,Weekend,no,517347
