date,season,day,publicholiday,dailyload,dailyload_pre
01-01-2020,Winter,Weekday,yes,606584,628633
02-01-2020,Winter,Weekday,no,698494,841151
03-01-2020,Winter,Weekend,no,723603,668825
04-01-2020,Winter,Weekend,no,679700,668825
05-01-2020,Winter,Weekend,no,642949,668825
06-01-2020,Winter,Weekday,yes,652957,628633
07-01-2020,Winter,Weekday,no,805511,841151
08-01-2020,Winter,Weekday,no,814654,841151
09-01-2020,Winter,Weekday,no,807612,841151
10-01-2020,Winter,Weekend,no,801513,668825
11-01-2020,Winter,Weekend,no,706913,668825
12-01-2020,Winter,Weekend,no,672009,668825
13-01-2020,Winter,Weekday,no,823429,841151
14-01-2020,Winter,Weekday,no,848981,841151
15-01-2020,Winter,Weekday,no,851609,841151
16-01-2020,Winter,Weekday,no,837553,841151
17-01-2020,Winter,Weekend,no,831232,668825
18-01-2020,Winter,Weekend,no,741601,668825
19-01-2020,Winter,Weekend,no,695089,668825
20-01-2020,Winter,Weekday,no,846279,841151
21-01-2020,Winter,Weekday,no,850496,841151
22-01-2020,Winter,Weekday,no,844684,841151
23-01-2020,Winter,Weekday,no,834031,841151
24-01-2020,Winter,Weekend,no,829627,668825
25-01-2020,Winter,Weekend,no,725967,668825
26-01-2020,Winter,Weekend,no,678754,668825
27-01-2020,Winter,Weekday,no,815176,841151
28-01-2020,Winter,Weekday,no,831015,841151
29-01-2020,Winter,Weekday,no,834559,841151
30-01-2020,Winter,Weekday,no,814530,841151
31-01-2020,Winter,Weekend,no,778801,668825
01-02-2020,Winter,Weekend,no,654285,668825
02-02-2020,Winter,Weekend,no,620204,668825
03-02-2020,Winter,Weekday,no,780712,841151
04-02-2020,Winter,Weekday,no,808409,841151
05-02-2020,Winter,Weekday,no,824321,841151
06-02-2020,Winter,Weekday,no,822122,841151
07-02-2020,Winter,Weekend,no,800175,668825
08-02-2020,Winter,Weekend,no,695863,668825
09-02-2020,Winter,Weekend,no,645736,668825
10-02-2020,Winter,Weekday,no,787163,841151
11-02-2020,Winter,Weekday,no,804065,841151
12-02-2020,Winter,Weekday,no,813328,841151
13-02-2020,Winter,Weekday,no,806501,841151
14-02-2020,Winter,Weekend,no,785592,668825
15-02-2020,Winter,Weekend,no,669580,668825
16-02-2020,Winter,Weekend,no,635234,668825
17-02-2020,Winter,Weekday,no,764924,841151
18-02-2020,Winter,Weekday,no,775102,841151
19-02-2020,Winter,Weekday,no,806761,841151
20-02-2020,Winter,Weekday,no,796778,841151
21-02-2020,Winter,Weekend,no,779095,668825
22-02-2020,Winter,Weekend,no,662127,668825
23-02-2020,Winter,Weekend,no,626701,668825
24-02-2020,Winter,Weekday,no,768702,841151
25-02-2020,Winter,Weekday,no,772126,841151
26-02-2020,Winter,Weekday,no,809289,841151
27-02-2020,Winter,Weekday,no,795658,841151
28-02-2020,Winter,Weekend,no,795438,668825
29-02-2020,Winter,Weekend,no,689634,668825
01-03-2020,Spring,Weekend,no,633111,515301
02-03-2020,Spring,Weekday,no,762245,724048
03-03-2020,Spring,Weekday,no,792687,724048
04-03-2020,Spring,Weekday,no,786965,724048
05-03-2020,Spring,Weekday,no,781699,724048
06-03-2020,Spring,Weekend,no,779438,515301
07-03-2020,Spring,Weekend,no,675783,515301
08-03-2020,Spring,Weekend,no,615866,515301
09-03-2020,Spring,Weekday,no,777813,724048
10-03-2020,Spring,Weekday,no,786158,724048
11-03-2020,Spring,Weekday,no,768459,724048
12-03-2020,Spring,Weekday,no,743709,724048
13-03-2020,Spring,Weekend,no,744825,515301
14-03-2020,Spring,Weekend,no,639166,515301
15-03-2020,Spring,Weekend,no,586348,515301
16-03-2020,Spring,Weekday,no,691885,724048
17-03-2020,Spring,Weekday,no,692110,724048
18-03-2020,Spring,Weekday,no,666067,724048
19-03-2020,Spring,Weekday,no,653481,724048
20-03-2020,Spring,Weekend,no,627459,515301
21-03-2020,Spring,Weekend,no,604568,515301
22-03-2020,Spring,Weekend,no,573009,515301
23-03-2020,Spring,Weekday,no,682856,724048
24-03-2020,Spring,Weekday,no,692639,724048
25-03-2020,Spring,Weekday,no,701564,724048
26-03-2020,Spring,Weekday,no,701614,724048
27-03-2020,Spring,Weekend,no,643846,515301
28-03-2020,Spring,Weekend,no,558403,515301
29-03-2020,Spring,Weekend,no,546548,515301
30-03-2020,Spring,Weekday,no,676462,724048
31-03-2020,Spring,Weekday,no,682219,724048
01-04-2020,Spring,Weekday,no,666462,724048
02-04-2020,Spring,Weekday,no,652083,724048
03-04-2020,Spring,Weekend,no,630720,515301
04-04-2020,Spring,Weekend,no,554284,515301
